en,fr,de,vi
field trimming,réglage opérationnel fin des résistances,,
field-displacement isolator,isolateur à déplacement de champ,,
fieldbus,projet de standardisation de bus,,
figure-eight microphone,microphone en forme de huit,,
fillers of a cable,matière de remplissage de câble,,
filter assessor,filtre-répartiteur,,
filter Q,filtre Q,,
filter wedge spectrometer,spectromètre différentiel à filtre,,
filter-and-sample detector,détecteur à filtre et échantillonage,,
filter-bank system,système à banc de filtres,,
firing profile,profil d'étuvage,,
first choice circuit group,faisceau de premier choix,,
first mixer module,module changeur de fréquence,,
five-band privacy equipment,dispositif de secret à découpage en cinq bandes,,
fixed connector wiring,entourage,,
fixed-axis variable-speed flywheel,volant à axe fixe et à vitesse variable,,
fixturing time,temps requis pour la solidité de la colle,,
flag alignment method,méthode d'alignement des drapeaux,,
flanged reel,bobine à flasques,,
flashing frequency,fréquence de clignotement,,
flashing red light,lumière rouge clignotante,,
flatband voltage shift,décalage de la tension à large bande,,
flatness of bearing,flou,,
"flicker ""floor""","""palier"" de scintillation",,
floating capacitance vs.voltage measurement,mesure capacité-tension flottante,,
flood bar,lame de reprise de flux,,
floor-type distribution frame,répartiteur à double face,,
flow control signal,signal de contrôle de flux,,
flugene solvent,flugène,,
fluorescent lamp without integrated ballast,lampe fluorescente sans ballast intégré,,
flutter fading,évanouissement rapide,,
FM subcarrier,sous-porteuse MF,,
FM threshold,seuil FM,,
FM-FM compressor-expander system,système MF-MF à compression-extension,,
focus,focalisation,,
focused beam feed,dispositif d'alimentation à faisceau focalisé,,
focusing gain,gain dû à la focalisation,,
follow-on rate,prix du kilowattheure de développement,,
food freezer,congélateur de denrées alimentaires,,
forced menu,menu imposé,,
formant intelligibility,intelligibilité des formants,,
formant vocoder,codeur à fréquences vocales de formants,,
format error correction sequence,séquence de correction d'erreurs de format,,
format output,sortie avec format,,
forward echo,écho vers l'aval,,
forward error correction,correction d'erreurs sans voie de retour,,
forward indicator bit,bit indicateur vers l'avant,,
forward input signal,signal d'entrée vers l'avant,,
forward interworking telephony event,événement téléphonique d'interfonctionnement vers l'avant,,
forward path,chaîne d'action,,
forward reflected wave,onde transmise après réflexions,,
forward sequence number,numéro de séquence vers l'avant,,
forward set up message,message d'établissement émis vers l'avant,,
four-star compartment,compartiment “quatre étoiles”,,
four-wire crosspoint,point de connexion à quatre fils,,
four-wire line adaptor,adaptateur à quatre fils,,
fractional horsepower motor,moteur fractionnaire,,
frame aligner,dispositif de verrouillage de trame,,
frame level interface,jonction au niveau de la trame,,
frame level terminal,équipement terminal à niveau de trame,,
framed slotted system,système crénelé à trame,,
free passage reference profile,profil de référence du passage libre,,
free space basic transmission loss,affaiblissement d'espace libre d'une liaison radioélectrique,,
free-space propagation,rayonnement direct,,
freeze framing,arrêt sur image,,
frequencies used,fréquences utilisées,,
frequency modulation synthesis,synthèse par modulation de fréquence,,
frequency shift,déplacement de fréquences,,
frequency-modulation VF telegraphy,télégraphie harmonique à modulation de fréquence,,
Fresnel zone blockage,blocage de la zone de Fresnel,,
front-fed parabolic reflector,réflecteur parabolique alimenté par l'avant,,
frontal-secondary shelf,alvéole frontale-secondaire,,
frost-free compartment,compartiment sans givre,,
frost-free system,système sans givre,,
frozen-food storage cabinet,meuble de stockage de denrées alimentaires congelées,,
fuel cell stack,bloc de piles à combustible,,
full baseband loading,bande de base à pleine charge,,
full carrier single-sideband emission,émission à bande latérale unique à porteuse complète,,
full scale output,sortie maximale,,
full two pi steradian radiation pattern,diagramme de rayonnement complet de 2 pi stéradians,,
fully automatic reperforator transmitter distributor,retransmetteur à bande perforée,,
fully lit object,objet qui reçoit l'éclairement maximal,,
fully-arisen sea,mer entièrement levée,,
functional trimming,réglage fonctionnel précis,,
fundamental-to-harmonic power ratio,rapport de la puissance aux fréquences fondamentales à la puissance aux harmoniques,,
furnace active zone,zone active du four,,
furnace slave zone,zone secondaire de l'étuve,,
gain relative to an isotropic radiator,gain par rapport à une antenne isotrope,,
gas filled dual bulb,tube à lumière mixte,,
gate control,commande par gâchette,,
Gaussian filtered minimum shift keying,modulation à déplacement minimal à filtre gaussien,,
Gaussian probability scale,échelle de probabilité gaussienne,,
Gaussian scatter function,fonction de dispersion gaussienne,,
Gaussian scatter HF channel model,modèle de voie sur ondes décamétriques à dispersion gaussienne,,
general declaration,déclaration générale,,
generation lifetime,temps de génération,,
generator lock,synchronisation du signal vidéo,,
geoalert,alerte géophysique,,
geographical sharing,partage géographique,,
geostationary satellite orbit saturation,saturation de l'orbite des satellites géostationnaires,,
ghost image,image secondaire,,
global systems analysis,analyse globale par systèmes,,
go-back n RQ system,système de correction d'erreurs avec mémoire à n blocs,,
good utility practice,bonnes pratiques commerciales,,
gpDm,décamètre géopotentiel,,
graded coupling loss cable,câble à pertes de couplage progressives,,
graded rack,baie à multiplage partiel,,
graticule,réticule,,
gratings,réseaux prismatiques,,
green substrate,substrat vert,,
gross leak,taux de fuite franche,,
ground plane,plan de masse,,
ground stations,stations terriennes,,
grounded capacitance vs.voltage measurement,mesure capacité-tension à la terre,,
group call identity,identité d'appel de groupe,,
group demodulating equipment,équipement de démodulation de groupe primaire,,
group multiplexer terminator,terminaison de multiplexeur de groupe,,
group multiplexer unit,unité de multiplexeur de groupe,,
guard channel,canal de réserve,,
guard space to burst ratio,rapport intervalle de garde/longueur du paquet d'erreurs,,
guardband,bande de garde,,
guided radiation system,système à rayonnement guidé,,
Hafler circuit,extracteur d'ambiance stéréo Hafler,,
half amplitude duration,durée à mi-amplitude,,
half transponder,demi-répéteur,,
half-amplitude pulse duration,durée d'une impulsion à mi-amplitude,,
halogen lighting converter,convertisseur pour éclairage halogène,,
haloing,halo de fracturation et décollement interlaminaire,,
hammer drive anchor,ancrage à tête en T,,
hard decision decoding,décodage à décision dure,,
harmonic intermodulation distortion,distorsion harmonique,,
header field,champ d'en-tête,,
headlamp assembly,bloc de projecteur,,
heat column,élément de chauffage,,
heat storage in rock beds,stockage de la chaleur dans les pierres,,
heel break,rupture à la base de la liaison,,
heel crack,fissure à la base de la liaison,,
helical-scan magnetic recording,enregistrement magnétique par défilement héliocoïdal,,
Helium Neon Laser,laser à hélium-néon,,
heterodyne CATV amplifier,amplificateur hétérodyne pour télévision par câble,,
hidden transmitter syndrome,phénomène de l'émetteur caché,,
high angle radiation of the array,rayonnement de l'antenne sous un grand angle,,
High Definition Multimedia Interface ™,interface multimédia haute définition &#153,,
high duty cycle pulsed system,système à impulsions à coefficient d'utilisation élevé,,
high frequency capacitance vs.voltage,mesure capacité-tension à haute fréquence,,
high modulation-index angle-modulated system,système à modulation angulaire à indice de modulation élevé,,
high purity polarized signal,signal polarisé très pur,,
high resolution picture transmission,transmission d'images haute résolution,,
high speed circuit,circuit à haut débit,,
high-gain spot-beam antenna,antenne à faisceaux ponctuels et à gain élevé,,
high-reliability power line,ligne à grande sécurité de service,,
high-speed multiplex link,liaison multiplex à grande vitesse,,
hold-off arm,bras de retenue,,
hollow wall anchor,ancrage pour mur creux,,
home-mode,mode usage domestique,,
hook tag,cosse équerre,,
horizontal control shelf,cadre de commande de l'horizontale,,
horizontal multiple,multiplage horizontal,,
horizontal terminating block,réglette horizontale,,
household lamp,lampe domestique,,
household refrigerating appliance,appareil de réfrigération ménager,,
household room illumination,illumination d'une pièce d'un ménage,,
hunting switch,chercheur de ligne libre,,
ice-making compartment,compartiment de fabrication de glace,,
identification-not-provided signal,signal d'identification non fournie,,
idle-tone channel selection system,système de sélection des voies à l'aide de tonalités de repos,,
illuminating surface of a light-signalling device other than a retro-reflector,plage éclairante d’un dispositif de signalisation autre qu’un catadioptre,,
illumination by diffusion,éclairage par diffusion,,
illumination by reflection,éclairage par réflexion,,
image degradation,dégradation d'image,,
image ratioing,rapport d'image,,
imitative deception,déception par imitation,,
immediate tripping,déclenchement immédiat,,
impact ionization avalanche transit time,temps de transmission de l'impact d'avalanche,,
in-module connection,intra-connection,,
in-service busy,présent mais occupé,,
in-service campon,attente sur occupation en service,,
in-service idle,en service et disponible,,
inbound matrix highways,raccordement d'entrée de la matrice de commutation,,
inclined plane furnace,étuve à plan incliné,,
incoming trunk link frame,élément de sélection de groupe d'arrivée,,
incremental area,élément de surface,,
incremental non-linear equivalent circuit,circuit équivalent non linéaire extrapolé,,
indicator circuit of a door,circuit d'indicateur de porte,,
indirect emulsion screen,écran d'émulsion indirecte,,
indirect illumination,éclairage indirect,,
indirect interference,brouillage indirect,,
individual antenna,antenne individuelle,,
