en,fr,de,vi
,cric hydraulique,hydraulischer Heber,
,culbuteur de wagons,Wagenkipper,
,culotte de raccordement,Hosenanschlussstück,
,cylindre tournant,Rottetrommel,
,débit horaire de renouvellement d'air,stündlicher Luftwechsel,
,débloquer un frein,eine Bremse loslassen,
,débouchoir,Räumwerkzeug,
,débrayer,entkuppeln,
,débrayer un moteur,die Kuppelung ausschalten,
,débrayeur,Ausschalter,
,découpage au jet de plasma,Plasmaschneideanlage,
,défaut d'efficacité de l'outil,mangelnde Eignung des Werkzeugs,
,dégerbage,Vereinzelung,
,délai de mise en régime du moteur,für den Startvorgang benötigte Zeit,
,démontage,Zerlegung,
,démonter,abwerfen,
,dent en bout,Stirnschneide,
,denture hélicoïdale alternée,Kreuzverzahnung,
,denture périphérique,Seitenverzahnung,
,dépannage mal fait,unsachgemäße Reparatur,
,dépanner,eine Betriebsstörung beheben,
,déplacement de réglage,Einstellbewegung,
,déplacement du piston,Kolbenverdrängung,
,déréglage,Unregelmäßigkeit,
,désengrener,Räder einer Maschine aus dem Getriebe bringen,
,deuxième taille,Oberhieb,
,déverseur à bande,Absetzer,
,dévétisseur,Abstreifer,
,dévêtisseur,Abstreifer,
,dimension étalon,Nennmaß,
,direction de tri,Ziel,
,dispositif à collerette,Kragensteckvorrichtung,
,dispositif anti-collision,Auffahrsicherung,
,dispositif anti-collision,Tastbügel,
,dispositif d'ablocage de la pièce à tronçonner,Werkstückabschnitt-Spanneinrichtung,
,dispositif d'ancrage,Halteeinrichtung,
,dispositif de blocage du chariot porte-broche,Frässchlitten-Klemmung,
,dispositif diaform,Profilprojektor,
,dispositifs d'élingage,Anschlagmittel,
,distributeur,Verteilerleitung,
,diviseur,Zirkel,
,division simple,einfache Teilung,
,doigt d'entraînement,Mitnehmer,
,dressage au diamant,Diamant-Abrichten,
,dressage de profils,Abrichten von Profilschleifscheiben,
,dresseur,Abrichtwerkzeug,
,dresseur à diamant,Diamant-Abrichtwerkzeug,
,dresseur à diamant unique,Einzeldiamant-Abrichtwerkzeug,
,dresseur à diamants multiples,Diamant-Vielkornabrichter,
,dresseur à meule,Scheibenabrichter,
,dresseur à molette,Abrichtrolle,
,dresseur à molettes,Abrichtrolle,
,dresseur à pantographe,Abrichter mit Pantograph,
,dresseur à poudre de diamant,polykristallines Diamantabrichtwerkzeug,
,dresseur à profiler les meules,Abrichter zum Profilieren von Schleifscheiben,
,dresseur de rayons,Radienabrichter,
,dresseur-sinus,Winkeldrehvorrichtung,
,durée utile d'un outil,effektive Standzeit,
,dureté d'action,Wirkhärte,
,dynamomètre à bague fendue,Schlitzringdynamometer,
,ébarbeur pneumatique,Preßluftputzhammer,
,ébauchage,Profilieren der Schleifscheibe,
,écart fondamental,Grundabmaß,
,échelles,Ständerrahmen,
,écrou à oreilles,Knebelmutter,
,écrou fixe,Gegenmutter,
,écrou moleté,Rändelmutter,
,écrou-papillon,Lappenschraube,
,effort actif,Aktivkraft,
,effort de coupe moyenne,Mittenspankraft,
,effort de refoulement,Schaftkraft,
,effort de rupture résiduel,Restbruchkraft,
,égoïne,Fuchsschwanzsaege,
,élément défaillant,gestörter Teil,
,élévateur,Hubrettungssatz,
,emboîtage,Verpacken in Schachteln,
,embrayer,kuppeln,
,"emploi d'un blindé large, pour assurer l'évacuation des plus gros blocs",Einsatz eines Breitfoerderers zur stoerungsfreien Abfoerderung der groessten Bloecke,
,encoffrage,Maschinenschutz,
,engin de levage à succion,Lasthaftgerät,
,engin moteur,Triebfahrzeug,
,engins en mouvement,fahrende Maschinen,
,engrenage intermédiaire,Vorlegegetriebe,
,enregistreur de vitesse,Fahrtschreiber,
,enroulement primaire,Primärwicklung einer Induktionsmaschine,
,enroulement secondaire,Sekundärwicklung einer Induktionsmaschine,
,entrée,Anschnitt,
,entrée d'eau de refroidissement,Kühlwassereintritt,
,entrepointes,Spitzenweite,
,entretoise,Mitnehmersteg,
,enveloppe externe,Seilverband,
,éolienne repliable,Klappsegler,
,épaisseur de coupe moyenne,Mittenspanungsdicke,
,épaisseur effective de coupe,Wirkspanungsdicke,
,équerre à lame bisautée,fester Winkel mit angeschrägter Kante,
,équerre à talon,Anschlagwinkel,
,équilibrage dynamique,dynamisches Auswuchten,
,équilibrage hydraulique,hydraulische Entlastung,
,équilibrage statique,statisches Auswuchten,
,équipement de suralimentation,Lader,
,essai sonore,Klangprobe,
,étalon angulaire,Winkelendmaß,
,étau à chanfrein,abgeschrägte Spannbacke,
,étau à main,Feilkloben,
,étau magnétique,magnetische Spanneinrichtung,
,évaporation,Verdunstung,
,expert pour les pompes à moteur,Motorspritzenexperte,
,"fabrication d'ouvrages en métaux,mécanique de précision",Herstellung von Metallerzeugnissen ohne Maschinen- und Fahrzeugbau,
,facteur solaire,Sonneinfallfaktor,
,Fédération des associations suisses d'employés des industries mécan...,Verband schweizerischer Angestelltenvereine der Maschinen- und Elek...,
,Fédération suisse des maîtres mécaniciens diplômés,Schweizerischer Verband diplomierter Mechanikermeister,
,fermeture anti-intrusion,eindrangsichere Schließvorrichtung,
,fiche d'outillage,Werkzeugliste,
,fil,Drahtdurchmesser,
,filière à peignes,Gewindeschneidkluppe,
,filière à peignes radiaux,Gewindeschneidkopf mit radialen Backen,
,filière à peignes tangentiels,Gewindeschneidkopf mit tangentialen Backen,
,filtre électromagnétique,elektromagnetisch arbeitender Filter,
,fissuration de l'arête de l'outil,Querrissbildung,
,flexion de la broche porte-meule,Durchbiegen der Schleifspindel,
,fonds emboutis,gepresster Boden,
,fonds plats,flacher Boden,
,fontaine filtrante de ménage,Brunnenwasser-Haushaltsfilter,
,"force dans le cylindre,à la tige de commande du cylindre",Zylinderkraft an der Kolbenstange des Federspeicherzylinders,
,foret à canon,Tiefbohrer,
,foret plat à langue d'aspic,Spitzbohrer mit symmetrischen Schneiden,
,foret watt,Mehrkantloch-Bohrapparat,
,foret-aléseur à trois lèvres,dreischneidiger Aufbohrer,
,fraise à denture fraisée:fraise à denture taillée,spitzgezahnter Fräser,
,fraise à denture hélicoïdale alternée,kreuzgezahnter Fräser,
,fraise à lamer,Senker,
,fraise à profil constant,Profilfräser,
,fraise concave,konkaver Profilfräser,
,fraise convexe,konvexer Profilfräser,
,fraise d'ébauche,Vorfräser,
,fraise en bout pleine,Walzenstirnfräser,
,fraise-scie à trancher,Schlitzfräser,
,fraiseuse à commande numérique,numerisch gesteuerte Fräsmaschine,
,fraiseuse à reproduire à pantographe,Nachformfräsmaschine mit Pantograph,
,fraisure,Senkung,
,frein,Sicherung,
,frette,Umschnürung,
,galerie à câbles,Kabelstollen,
,galerie à surface libre,Freispiegel/kanal,
,garde-flancs,Flankenschutz,
,générateur magnétohydrodynamique à alimentation solaire,magnethydrodynamischer Generator mit Sonnenwärme-Betrieb,
,génie mécanique,Maschinenbau,
,glissière,Rutsche,
,glissière droite en bois,Holz/kastenrutsche,
,glissière hélicoïdale,Wendelrutsche,
,glissière orientable,schwenkbarer Oberschlitten,
,gonflement du copeau,Spanquerschnittsstauchung,
,gorge,Nut,
,gorge de dégagement,Spannut,
,goupille d'arrêt cylindrique,Zylinderstift,
,grain d'orge,Hohlschaber,
,grattoir à coussinets,Löffelschaber,
,grattoir plat,Flachschaber,
,grattoir plat coude,Ziehschaber,
,grattoir triangulaire,Dreikantschaber,
,grilles de répartition,Gasverteilungswaende,
,gros-oeuvre de la cuve,Betontasse,
,groupe de trois ascenseurs,Dreiergruppe,
,Groupement pompes à chaleur,Arbeitsgemeinschaft Wärmepumpen,
,grue à portée variable à double direction,Doppellenker-Wippdrehkran,
,grue hydraulique pour l'alimentation en eau des locomotives,Wasserkran für die Wasserspeisung der Lokomotiven,
,guidage forcé,Zwangslenkung,
,guidage par colonnes,Säulenführung,
,guide,Stützzapfen,
,hauteur de pointes,Spitzenhöhe,
,hauteur manométrique,manometrische Foerderhoehe,
,hérisson,Stachelbrecher,
,indicateur temp d'huile transmission arrière,Heckgetriebe-Öltemperaturanzeige,
,indice de tassement des grains,Offenheit des Gefüges,
,"Industries transformatrices des métaux,mécanique de précision","Metallverarbeitende Industrie,Feinmechanik und Optik",
,ingénieur en mécanique de précision,Feinmechanikingenieurin,
,ingénieure en génie mécanique,Maschinenbauingenieurin,
,inspectrice des corps des sapeurs-pompiers,Feuerwehrinspektorin,
,installation d'évacuation d'air vicié,Abluftanlage,
,installation de désémulsification,Emulsionstrennanlage,
,installation de manutention pour bacs et charges légères,Kasten-Kleinförderanlage,
,installation de recyclage à échangeurs d'ions,Ionenaustausch-Kreislaufanlage,
,installation de traitement par voie biologique à plusieurs stades,mehrstufige biologische Kläranlage,
,installation de tri des paquets et des colis,2)Paket-und Päckchen-Verteilanlage,
,installation de ventilation,lüftungstechnische Anlage,
,inversion de poussée,Schubumkehr,
,Isolsuisse,Schweizerische Vereinigung für Isoliertechnik,
,jauge à rayons,Radienschablone,
,jauge de contrainte,Dehnungsmessstreifen,
,jauge de filetage,Gewindemeßgerät,
,jeu de construction,Bausteine,
,joint vertical,Stehfalz,
,jonction de postes intermédiaires,Endstellenanschluss,
,l'extraction par bobine ne s'emploie plus que pour les puits en fonçage,die Schachtfoerderung mit Bobinen wird heute fast nur noch beim Schachtabteufen verwendet,
,la pompe est actionnée au moyen d'un carré de pompe,die Betaetigung der Pumpe erfolgt durch Drehen der Pumpenwelle,
,lamage conique,Gesenkfräsen,
,lame de scie,Sägeblatt,
,lame de scie alternative,Mühlsägeblatt,
,lampe à marquer à chaud les emballages en bois,Lampe zum Einbrennen von Zeichnungen in Holzumschliessungen,
,largeur de la couronne circulaire,Ringflächenbreite,
,largeur de passe,Eingriffsgröße,
,largeur effective de coupe,Wirkspanungsbreite,
,le distributeur des étançons est sur la position en serrage au toit,der Steuerblock der Stempel steht auf Andruck am Hangenden,
,levier de déclenchement,Auslösehebel,
,liaison démontable,lösbare Verbindung,
,ligne à deux tubes,Doppelrohranlage,
,lime à taille double croisée,Kreuzhiebfeile,
,lime à taille simple,Einhiebfeile,
,lime fraisée,gefräste Feile,
,lime pilier,Stiftenfeile,
,lime taille bâtarde,Bastardfeile,
,lime taille demi douce,Halbschlichtfeile,
,lime taille douce,Schleifschaden,
,lime taille rude,grobe Feile,
,liquide d'arrosage,Kühlschmierstoff,
,local de réfrigération,Kühlraum,
,local de surgélation,Tiefkühlraum,
,locomotive remorquée,gezogene Lokomotive,
,logement de tête de vis,Senkung,
,longueur d'avance,Vorschubweg,
,longueur d'avance principale,Hauptvorschubweg,
,longueur d'avance secondaire,Nebenvorchubweg,
,machine à rectifier en coordonnées,Koordinatenschleifmaschine,
,machine de traçage à attaque totale,Vollschnittmaschine,
,machine de traçage à attaque totale,Vollschnittmaschine,
,machine frigorifique à éjecto-compression,Dampfstrahl-Kaeltemaschine,
,machinerie basse,Untermaschinerie,
,machines hydrauliques,Hydraulik-Druckzentrale,
,machines mobiles pendant leur travail,während der Arbeit bewegliche Maschinen,
,mâchoire articulée,Gelenkmaulschüssel,
,magnétique,Magnetprisma,
,manchon,Muffe,
,manchon à bride,Flanschmuffenstück,
,manchon à nervures,Muffe mit Rippen,
,manchon aléseur,vierschneidiger Aufbohrer,
,manchon de scellement,Dichtungsmuffe,
,manchon de tissus,Spinnstoffschlauch,
,mandrin d'équilibrage,Auswuchtspitze,
,mandrin flottant,Spannvorrichtung mit Bewegungsmöglichkeit,
,manette de commande de robinet,Bedienungsgriff,
,manille,Kettenschloss,
,manomètre d'huile auxiliaire BTP,Hauptgetriebe-Hilfsöldruckanzeige,
,manomètre d'huile BTP,Hauptgetriebe-Öldruckanzeige,
,manomètre de la boîte de transmission principale,Druckanzeige des Hauptgetriebes,
,marquage de la meule,Bezeichnung der Schleifkörper,
,masse,Bär,
,masselotte,Auswuchtmasse,
,matrice à gravures multiples,Mehrfachgesenk,
,matrtice à plusieurs gravures,Mehrstufengesenk,
,mauvaise utilisation d'une machine,unsachgemäße Bedienung einer Maschine,
,mécanicien de machines industrielles,Maschinenbaumechaniker,
,mécanique arrière,TGB,
,mécatronicien,Mechatroniker,
,mélangeur à tambour,Misch- und Rolliertrommel,
,meule à segments,Schleifscheibe mit Schleifsegmenten,
,meule à tronçonner,Trennschleifscheibe,
,meule d'entraînement,Mitnehmerscheibe,
,meule dure,Schleifbarkeit,
,meule élastique,Feinschleifen,
,meule lustrée,sehr poröse Schleifscheibe,
,meule métallique,Schleifscheibe mit Metallbindung,
,meule mordante,Schnittfläche einer Schleifscheibe,
,meule poreuse,poröse Schleifscheibe,
,meule pressée,nach dem Preßverfahren hergestellte Schleifscheibe,
,meule profilée,profilierter Schleifkörper,
,meule sur tige,Schleifstift,
,meule tendre,Schlichtfeile,
,meule très poreuse,Schleifspindelstock,
,mise au point de l'entraînement hydraulique du rabot et du blindé,Entwicklung eines hydraulischen Antriebs fuer den Hobel und den Panzerfoerderer,
,moment de torsion,Seildrehmoment,
,montage de la meule,Aufspannen der Schleifscheibe,
,monte-charge de cave,Keller-Lastenaufzug,
,monte-dossiers,Aktenaufzug,
,monte-plats,Speisenaufzug,
,monteuse de moulines,Mühlenbauerin,
,monture de scie,Bügel einer Säge,
,mors pour le serrage d'extérieur,äußere Spannbacke,
,mors pour le serrage d'intérieur,innere Spannbacke,
,moteur à induction à bagues,Schleifringläufer-Induktionsmotor,
,moteur de propulsion électrique,elektrischer Antriebsmotor,
,moteur de secours,Hilfsmotor,
,moteur propre,abgasfreundlicher Motor,
,moto-basculeur,Vorkopfschütter,
,moto-réducteur,Getriebemotor,
,motrice,Straßenbahntriebwagen,
,navette sur rail,schienengebundenes Flurförderzeug,
,niveau de sécurité équivalent,gleiches Maß an Sicherheit,
,noix d'entraînement,Kettenrad,
,non déchargé,nicht abgeladen,
,Normes techniques pour les appareils à gaz,Technische Normen für Gasgeräte,
,office de contrôle technique,industrieller Eigenüberwacher,
,opération d'embrayage,Zuschaltvorgang,
,opératrice sur machines de câblerie,Kabelmaschinenoperateurin,
,optidress,Optidress,
,organe de réglage de débit d'eau,Voreinstellglied zum Einstellen des Wasserdurchflusses,
,organe de répétition,Stellungsrückmelder,
,organe de signalisation,Meldesignal,
,orge brassicole,Braugerste,
,outil à aléser,Bohrstange,
,outil à aléser et dresser,Innen-Eckdrehmeißel,
,outil à arête latérale unique,Drehdiamant mit einer Schneide,
,outil à cambrer,Biegewerkzeug,
,outil à emboutir,Tiefziehwerkzeug,
,outil à fileter,Gewindedrehmeißel,
,outil à fraisurer,Winkelfräser,
,outil à gorge,Einstechdrehmeißel,
,outil à gorge,Innen-Stechdrehmeißel,
,outil à taille latérale,Seitendrehmeißel,
,outil à tranchant unique,einschneidiges Schneidwerkzeug,
,outil à tranchants multiples,mehrschneidiges Werkzeug,
,outil à tranchants multiples,mehrschneidiges Werkzeug,
,outil à tranchants multiples,vielschneidiges Werkzeug,
,outil abrasif,Schleifwerkzeug,
,outil adapté,passendes Werkzeug,
,outil coudé à dégrossir,gebogener Schruppdrehmeißel,
,outil coudé à finir,gebogener Schlichtdrehmeißel,
,outil d'estampage,Prägewerkzeug,
,outil de cambrage,Biegewerkzeug,
,outil de formage,Umformwerkzeug,
,outil de forme circulaire,Gewindeschneidkopf,
,outil de rivetage,Nietwerkzeug,
,outil de traçage,Anreißwerkzeug,
,outil droit à dégrossir,gerader Schruppdrehmeißel,
,outil droit à fileter,gerader Gewindedrehmeißel,
,outil droit à retouches,gerader Schlichtdrehmeißel,
,outil droit à saigner,gerader Stechdrehmeißel,
,outil oléopneumatique,oelpneumatisches Werkzeug,
,outil-pelle,breiter Schlichtdrehmeißel,
,outillage,Arbeitsmittel,
,outillage auxiliaire,Hilfswerkzeug,
,outillage de découpage et de poinçonnage,Schneid-und Lochwerkzeug,
,outillage de montage,Spannvorrichtung,
,palan,Bauaufzug,
,pales ou palettes de malaxeur,Mischerschaufeln,
